date,open,high,low,close,volume
2022-12-30,98.47,98.47,95.21,96.66,26271.51693427
2022-12-31,96.68,98.35,96.34,97,19643.70361049
2023-01-01,96.96,97.58,96.09,96.77,11078.17254808
2023-01-02,96.8,100.35,95.26,99.28,26576.10478367
2023-01-03,99.27,100.38,98.7,99.6,17004.84360366
2023-01-04,99.59,102.61,99.47,101.52,32706.47765182
2023-01-05,101.48,103.53,100.56,101.16,29398.901309
2023-01-06,101.21,101.97,98.1,101.62,29222.60660057
2023-01-07,101.58,102.17,101.25,101.51,17747.06630875
2023-01-08,101.54,103.9,100.8,103.66,17348.48029883
2023-01-09,103.64,107.85,103.6,106.82,38037.79056354
2023-01-10,106.8,109.18,105.5,107.35,24286.71713374
2023-01-11,107.34,110.09,105.5,109.82,33122.76394394
2023-01-12,109.88,125.3,107.97,119.64,103955.10084055
2023-01-13,119.77,127.75,117.8,124.58,70337.60896591
2023-01-14,124.63,131.35,119.97,125.82,75464.18348311
2023-01-15,125.84,127.3,121.52,124.92,42364.80205237
2023-01-16,124.94,127.07,119.59,124.18,54832.34162479
2023-01-17,124.18,125.72,121.83,122.78,35034.30742235
2023-01-18,122.7,127.4,116.18,118.68,44012.79393147
2023-01-19,118.59,122.47,118.56,121.71,16117.31012221
2023-01-20,121.7,128.2,120.4,128.08,21810.42767436
2023-01-21,128.04,134.17,125.28,127.89,35624.83666931
2023-01-22,127.9,132.69,127.13,128.66,20625.95881479
2023-01-23,128.66,138.53,128.49,133.31,29259.62840655
2023-01-24,133.25,137.14,125.71,128.17,29413.31088553
2023-01-25,128.17,135.05,125.34,131.91,25359.44310951
2023-01-26,131.95,135,129.64,133.9,22720.6594017
2023-01-27,133.93,136.29,131.71,135.3,22704.49496839
2023-01-28,135.24,135.84,131.48,132.75,11427.21856898
2023-01-29,132.69,138.6,131.99,136.53,27927.58591195
2023-01-30,136.49,136.65,127.54,131.16,31076.95833417
2023-01-31,131.22,136.44,130.69,133.19,27165.83081155
2023-02-01,133.24,136.89,129.8,136.15,28204.24153622
2023-02-02,136.24,143.51,135.61,136.79,32220.43539974
2023-02-03,136.78,139.66,136.22,137.92,21164.95469542
2023-02-04,137.93,140.15,136.09,138.05,17021.90740877
2023-02-05,138.06,138.29,132.68,134.44,16226.15199069
2023-02-06,134.41,135.07,130.21,131.67,13393.86021626
2023-02-07,131.63,137.61,131.35,135.92,27881.19490768
2023-02-08,136.02,136.84,129.76,131.63,17192.85973122
2023-02-09,131.67,133.03,122.09,126.76,63808.70010562
2023-02-10,126.82,132.12,123.99,124.32,43670.15848485
2023-02-11,124.34,127.35,123.16,124.88,15158.41164122
2023-02-12,124.84,126.61,121.32,122.84,24595.08712563
2023-02-13,122.81,124.73,119.8,123.92,47635.64985504
2023-02-14,123.95,127.17,122.84,126.69,23949.08486413
2023-02-15,126.78,135.27,125.04,134.8,36756.8866234
2023-02-16,134.76,135.82,127.65,127.95,33137.86800328
2023-02-17,128.03,134.58,127.55,133.4,22885.35069622
2023-02-18,133.36,138.73,133.29,136.13,23801.05531898
2023-02-19,136.12,141.1,134.66,136.09,25059.84042002
2023-02-20,136.11,148.97,133.29,145.01,51110.62294649
2023-02-21,144.95,154.05,142.67,145.32,108947.0191976
2023-02-22,145.29,145.7,136.9,141.91,43150.09928711
2023-02-23,141.92,143.78,137.44,138.71,35163.40324554
2023-02-24,138.75,139.66,130.36,132.69,27446.16396026
2023-02-25,132.74,135.69,129.51,133.15,28784.10337445
2023-02-26,133.15,137.5,132.2,136.28,17898.84749507
2023-02-27,136.27,138.25,133.21,135.09,29485.68622944
2023-02-28,135.11,135.25,130.55,131.97,30411.40851752
2023-03-01,131.91,135.86,131.55,134.24,24731.659906
2023-03-02,134.2,134.77,129.72,131.85,18135.38294165
2023-03-03,131.81,131.88,119.79,126.25,38240.52372262
2023-03-04,126.25,127.19,122.28,124.45,9982.06036561
2023-03-05,124.29,126.45,123.2,124.02,16893.17220382
2023-03-06,124.01,125.01,122.19,124.24,16132.47884238
2023-03-07,124.24,125.94,120.02,122.22,18883.81676164
2023-03-08,122.25,122.71,114.48,116.61,28873.46259064
2023-03-09,116.57,118.32,106.3,110.22,37415.09113451
2023-03-10,110.26,112.32,105.05,111.97,41207.39454405
2023-03-11,111.92,116.86,108,114.22,39390.25262497
2023-03-12,114.23,121.83,112.84,121.21,29662.80938853
2023-03-13,121.24,128.8,119.69,127.18,53373.70665483
2023-03-14,127.18,136.67,126.03,131.46,53392.60892797
2023-03-15,131.54,134.39,122.29,123.69,25503.76625398
2023-03-16,123.69,127.3,122.62,126.08,28007.68663877
2023-03-17,126.06,136.08,125.13,135.73,26626.27392892
2023-03-18,135.75,138.24,130.69,131.43,26125.7406788
2023-03-19,131.45,137.43,131.42,136.18,20649.49727481
2023-03-20,136.25,139.8,130,130.7,33651.47989547
2023-03-21,130.72,135.04,126.04,134.48,33372.56266623
2023-03-22,134.47,134.62,123.12,126.22,47420.89895202
2023-03-23,126.25,131.42,124.73,128.9,27260.06941591
2023-03-24,129,132.05,121.76,123.97,28560.86850903
2023-03-25,123.98,127.76,123.29,125.24,26717.48499603
2023-03-26,125.19,127.24,123.73,124.81,15410.6269883
2023-03-27,124.7,125.07,116.77,120.49,30602.96654575
2023-03-28,120.5,122.36,119.12,121.04,30249.20306294
2023-03-29,120.92,124.78,120.54,123.38,32911.89660542
2023-03-30,123.32,125.34,119.02,121.12,33269.00622812
2023-03-31,121.14,124.73,120.29,124.08,21167.83720655
2023-04-01,124.08,127.65,123.48,126.17,21776.98777067
2023-04-02,126.14,126.59,121.31,123.03,16086.87791067
2023-04-03,123.09,129.64,119.76,127.81,45163.46842447
2023-04-04,127.81,128.41,125.96,127.08,22652.7342578
2023-04-05,127.05,129.99,125.15,127.34,24937.2683234
2023-04-06,127.36,127.7,124.86,126.15,15673.48240104
2023-04-07,126.15,126.7,123.29,124.68,11523.91166293
2023-04-08,124.7,125.28,122.93,123.9,6498.23799338
2023-04-09,123.85,126.44,123.46,125.54,10240.1746286
2023-04-10,125.55,128.76,124.08,128.07,18496.18177729
2023-04-11,128.11,130.77,127.46,129.29,23483.37224878
2023-04-12,129.26,129.99,125.65,128.81,25477.45402524
2023-04-13,128.89,131.93,128.01,131.16,17801.6892073
2023-04-14,131.12,134.47,128.97,132.29,23277.31903811
2023-04-15,132.28,133.75,130.76,132.7,20588.02294444
2023-04-16,132.75,136.18,131.01,134.5,21353.48501575
2023-04-17,134.53,134.65,130.25,131.61,18722.59050799
2023-04-18,131.55,134.26,130.34,133.63,15618.83231918
2023-04-19,133.64,133.96,122.7,124.98,36306.09165009
2023-04-20,124.92,126.8,121.37,123.17,20606.21236336
2023-04-21,123.15,124.95,118.27,119.96,22503.5467291
2023-04-22,119.84,122.92,119.14,122.03,10144.70435791
2023-04-23,122.05,122.85,118.1,119.88,13254.50001685
2023-04-24,119.92,121.62,118.64,119.16,16353.80929503
2023-04-25,119.18,120.39,116.64,120.27,18974.83617869
2023-04-26,120.23,123.35,111.66,117.65,34909.62629715
2023-04-27,117.66,120.44,116.28,117.14,23826.80712744
2023-04-28,117.15,120.33,115.57,118.08,21045.76496597
2023-04-29,118.15,120.25,117.75,119.87,10627.07468154
2023-04-30,119.84,121.08,117.57,117.7,13691.90438819
2023-05-01,117.69,118.45,115.09,117.05,15032.18635787
2023-05-02,117.04,119.73,116.41,119.28,15129.36888637
2023-05-03,119.28,120.83,116.01,120.08,20584.93875471
2023-05-04,120.09,120.17,116.57,117.46,14751.15629372
2023-05-05,117.44,121.08,116.79,120.23,21337.19430761
2023-05-06,120.24,120.75,115.43,117.15,14998.60808764
2023-05-07,117.14,117.87,115.95,116.29,8225.7230318
2023-05-08,116.17,117,107.2,111.31,25716.43535033
2023-05-09,111.28,123.94,110.37,122.21,54291.59469647
2023-05-10,122.21,123.55,111.84,115.88,56984.62535184
2023-05-11,115.82,115.84,110.16,113.39,27312.56105388
2023-05-12,113.3,115.66,112.17,114.86,29903.56756055
2023-05-13,114.87,114.98,112.52,113.04,10657.41653342
2023-05-14,113.07,116.08,112.94,115.26,13611.01557275
2023-05-15,115.24,120.93,114.31,116.05,37764.505489
2023-05-16,116.02,117.66,114.05,116.73,23774.9559453
2023-05-17,116.88,118.73,115.39,117.93,16877.20504909
2023-05-18,117.93,118.04,112.89,115.28,15912.68201587
2023-05-19,115.31,116.18,114.5,115.59,9723.10226093
2023-05-20,115.56,117.04,114.61,116.66,10126.95439392
2023-05-21,116.68,117.15,113.91,114.74,11231.75173235
2023-05-22,114.75,115.24,113.03,114.68,11760.7066292
2023-05-23,114.7,117.41,114.67,115.73,15629.2254895
2023-05-24,115.8,115.83,110.89,112.03,19597.8709438
2023-05-25,112.03,112.36,109.3,111.93,16852.19037476
2023-05-26,111.95,113.81,111.47,113.25,10097.12470366
2023-05-27,113.23,114.15,112.13,113.92,6454.33967786
